"YEAR","MONTH","DAY","TMAX","TMIN","TOBS","PRCP","SX32","SN32","SX33","SN33","SX35","SN35"
"2017","9","7","92","66","71","0","92","83","89","84","86","84"
"2017","9","8","77","59","70","0","87","80","86","82","86","84"
"2017","9","9","89","58","69","0","89","79","86","81","85","83"
"2017","9","10","95","60","80","0","89","79","86","81","84","83"
"2017","9","11","99","67","80","0","90","80","87","82","84","83"
"2017","9","12","99","64","73","0","91","82","88","83","85","83"
"2017","9","13","95","65","72","0","91","82","88","83","85","83"
"2017","9","14","85","60","65","0","90","81","87","83","85","83"
"2017","9","15","78","54","65","0","85","77","84","81","85","83"
"2017","9","16","86","53","63","0","85","81","83","85","84","83"
"2017","9","17","85","53","58","0","86","77","83","79","84","82"
"2017","9","18","85","58","70","0","94","76","82","78","82","81"
"2017","9","19","84","52","59","0","83","75","82","78","82","80"
"2017","9","20","80","55","67","0","82","74","80","77","81","80"
"2017","9","21","80","49","59","0","81","73","80","76","81","79"
"2017","9","22","73","45","55","0","80","72","79","75","80","79"
"2017","9","23","76","54","63","0","80","72","79","75","80","79"
"2017","9","24","75","54","65","0","79","71","77","74","80","78"
"2017","9","25","84","55","65","0","78","71","76","73","78","77"
"2017","9","26","88","59","69","0","78","71","77","73","78","77"
"2017","9","27","92","57","70","0","79","72","78","74","77","76"
"2017","9","28","92","52","69","0","80","72","78","74","77","76"
"2017","9","29","90","53","65","0","79","72","78","74","77","76"
"2017","9","30","86","52","65","0","79","72","78","74","77","76"
"2017","10","1","86","60","71","0","79","72","77","74","77","76"
"2017","10","2","82","60","64","0","78","72","77","74","77","76"
"2017","10","3","79","46","59","0","78","69","76","72","77","76"
"2017","10","4","79","44","58","0","75","68","75","71","76","75"
"2017","10","5","81","44","60","0","75","68","74","71","76","75"
"2017","10","6","84","47","63","0","75","67","73","70","75","74"
"2017","10","7","90","46","65","0","75","67","73","70","74","73"
"2017","10","8","90","53","68","0","75","68","74","70","74","73"
"2017","10","9","80","62","66","0","75","69","73","71","74","73"
"2017","10","10","82","45","57","0","75","68","74","71","74","73"
"2017","10","11","82","48","59","0","74","68","73","70","74","73"
"2017","10","12","76","54","58","0","72","66","72","69","74","72"
"2017","10","13","76","44","59","0","72","65","71","68","73","72"
"2017","10","14","80","53","65","0","71","64","70","67","72","71"
"2017","10","15","80","43","65","0","71","64","70","67","72","71"
"2017","10","16","82","47","54","0","70","64","69","66","71","70"
"2017","10","17","84","46","54","0","70","64","69","66","71","70"
"2017","10","18","82","43","55","0","69","63","68","66","70","70"
"2017","10","19","81","52","56","0","69","63","68","65","70","69"
"2017","10","20","73","49","53","0.18","69","63","68","65","70","69"
"2017","10","21","66","42","53","0","67","60","67","64","70","68"
"2017","10","22","73","43","60","0","66","60","66","63","69","67"
